match_id,time_sec,team_id,is_winner,P1_hp,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_kill,P1_medkit,P1_firstaid,P1_painkiller,P1_drink,P1_adrenaline,P1_grenade,P1_flash,P1_molotov,P1_dX,P1_dY,P1_z_norm,P2_hp,P2_groggy,P2_medkit,P2_firstaid,P2_painkiller,P2_drink,P2_adrenaline,P2_smoke,P2_grenade,P2_flash,P2_molotov,P2_helm,P2_vest,P2_kill,P2_dX,P2_dY,P2_z_norm,P3_hp,P3_groggy,P3_medkit,P3_firstaid,P3_painkiller,P3_drink,P3_adrenaline,P3_smoke,P3_grenade,P3_flash,P3_molotov,P3_helm,P3_vest,P3_kill,P3_dX,P3_dY,P3_z_norm,P4_hp,P4_groggy,P4_medkit,P4_firstaid,P4_painkiller,P4_drink,P4_adrenaline,P4_smoke,P4_grenade,P4_flash,P4_molotov,P4_helm,P4_vest,P4_kill,P4_dX,P4_dY,P4_z_norm,num_alive,total_health
vikendi1st.jsonl,1395,18,1,43.6,0,2,2,2,2,0,3,1,2,0,3,0,0,-9218.59,2816.41,-0.05,45.6,0,0,2,0,3,0,0,4,2,1,2,2,1,-9431.88,2352.84,-0.06,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11619.53,4323.62,-0.26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,189.2
vikendi1st.jsonl,1395,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16204.66,3725.19,0.14,1,88.0
vikendi1st.jsonl,1395,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13889.31,-11181.88,-0.87,97.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-15707.59,-3570.94,-1.18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,180.0
vikendi1st.jsonl,1396,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,191845.06,21044.88,-1.06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1396,11,0,21.63,0,2,2,3,2,0,6,0,7,0,3,1,3,8750.66,16254.84,1.72,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5929.19,14876.59,1.65,2,98.63
vikendi1st.jsonl,1396,18,1,43.6,0,2,2,2,2,0,3,1,2,0,3,0,0,-9218.59,2816.41,-0.07,45.6,0,0,2,0,3,0,0,4,2,1,2,2,1,-9431.88,2352.84,-0.07,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11619.53,4323.62,-0.26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,189.2
vikendi1st.jsonl,1396,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16204.66,3725.19,0.12,1,88.0
vikendi1st.jsonl,1396,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13889.31,-11181.88,-0.86,97.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-15707.59,-3570.94,-1.17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,180.0
vikendi1st.jsonl,1397,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,-98946.81,-133866.5,0.37,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1397,11,0,21.63,0,2,2,3,2,0,6,0,7,0,3,1,3,8750.66,16254.84,1.65,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5929.19,14876.59,1.58,2,98.63
