filename,filepath,total_players,ai_count,ai_ratio
20251110_233326_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_233326_squad_Tiger_Main.jsonl,100,42,0.42
20251106_113236_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_113236_squad_Baltic_Main.jsonl,100,92,0.92
20251112_110933_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_110933_squad_Baltic_Main.jsonl,99,41,0.41414141414141414
20251115_175946_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_175946_squad_Baltic_Main.jsonl,100,91,0.91
20251111_103351_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_103351_squad_Baltic_Main.jsonl,100,92,0.92
20251113_115712_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251113_115712_squad_Desert_Main.jsonl,100,40,0.4
20251110_091524_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_091524_squad_Tiger_Main.jsonl,100,97,0.97
20251109_031014_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_031014_squad_Baltic_Main.jsonl,100,91,0.91
20251108_135232_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_135232_squad_Tiger_Main.jsonl,100,41,0.41
20251107_124925_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_124925_squad_Baltic_Main.jsonl,100,92,0.92
20251115_121735_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_121735_squad_Baltic_Main.jsonl,98,41,0.41836734693877553
20251112_181355_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_181355_squad_Tiger_Main.jsonl,98,90,0.9183673469387755
20251114_094415_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_094415_squad_Baltic_Main.jsonl,100,90,0.9
20251105_192333_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251105_192333_squad_Baltic_Main.jsonl,99,44,0.4444444444444444
20251107_024537_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_024537_squad_Baltic_Main.jsonl,100,91,0.91
20251114_024900_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_024900_squad_Desert_Main.jsonl,99,40,0.40404040404040403
20251110_074018_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_074018_squad_Baltic_Main.jsonl,100,92,0.92
20251114_154807_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_154807_squad_Baltic_Main.jsonl,100,92,0.92
20251106_123252_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_123252_squad_Baltic_Main.jsonl,99,92,0.9292929292929293
20251105_132434_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251105_132434_squad_Baltic_Main.jsonl,99,92,0.9292929292929293
20251114_171650_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_171650_squad_Baltic_Main.jsonl,100,92,0.92
20251110_131639_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_131639_squad_Tiger_Main.jsonl,99,40,0.40404040404040403
20251109_180453_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_180453_squad_Baltic_Main.jsonl,100,90,0.9
20251115_031628_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_031628_squad_Baltic_Main.jsonl,100,98,0.98
20251110_091048_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_091048_squad_Baltic_Main.jsonl,100,92,0.92
20251113_055120_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251113_055120_squad_Baltic_Main.jsonl,95,40,0.42105263157894735
20251114_065259_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_065259_squad_Desert_Main.jsonl,93,41,0.44086021505376344
20251112_132934_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_132934_squad_Tiger_Main.jsonl,99,84,0.8484848484848485
20251109_142718_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_142718_squad_Baltic_Main.jsonl,100,92,0.92
20251107_044900_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_044900_squad_Baltic_Main.jsonl,100,92,0.92
20251109_082802_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_082802_squad_Baltic_Main.jsonl,100,92,0.92
20251115_044047_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_044047_squad_Baltic_Main.jsonl,100,92,0.92
20251108_154547_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_154547_squad_Baltic_Main.jsonl,100,92,0.92
20251113_015811_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251113_015811_squad_Baltic_Main.jsonl,100,92,0.92
20251106_122920_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_122920_squad_Baltic_Main.jsonl,100,92,0.92
20251112_125927_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_125927_squad_Baltic_Main.jsonl,99,89,0.898989898989899
20251112_124348_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_124348_squad_Tiger_Main.jsonl,100,82,0.82
20251116_110027_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251116_110027_squad_Baltic_Main.jsonl,100,92,0.92
20251115_105848_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_105848_squad_Tiger_Main.jsonl,99,40,0.40404040404040403
20251112_202736_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_202736_squad_Tiger_Main.jsonl,99,41,0.41414141414141414
20251112_083340_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_083340_squad_Baltic_Main.jsonl,100,91,0.91
20251110_155126_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_155126_squad_Desert_Main.jsonl,96,43,0.4479166666666667
20251107_183201_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_183201_squad_Baltic_Main.jsonl,100,92,0.92
20251114_225833_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_225833_squad_Baltic_Main.jsonl,100,92,0.92
20251114_161032_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_161032_squad_Baltic_Main.jsonl,98,90,0.9183673469387755
20251112_030807_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_030807_squad_Baltic_Main.jsonl,100,92,0.92
20251110_120126_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_120126_squad_Baltic_Main.jsonl,100,92,0.92
20251107_115452_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_115452_squad_Tiger_Main.jsonl,97,44,0.4536082474226804
20251109_234256_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_234256_squad_Tiger_Main.jsonl,98,44,0.4489795918367347
20251106_130215_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_130215_squad_Baltic_Main.jsonl,94,42,0.44680851063829785
20251114_135557_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_135557_squad_Baltic_Main.jsonl,100,92,0.92
20251111_115240_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_115240_squad_Tiger_Main.jsonl,99,44,0.4444444444444444
20251115_233139_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_233139_squad_Baltic_Main.jsonl,100,92,0.92
20251116_092323_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251116_092323_squad_Baltic_Main.jsonl,95,40,0.42105263157894735
20251107_062746_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_062746_squad_Baltic_Main.jsonl,100,92,0.92
20251106_073403_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_073403_squad_Baltic_Main.jsonl,100,92,0.92
20251107_134549_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_134549_squad_Baltic_Main.jsonl,100,92,0.92
20251110_070033_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_070033_squad_Baltic_Main.jsonl,100,91,0.91
20251113_133356_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251113_133356_squad_Baltic_Main.jsonl,100,92,0.92
20251111_131957_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_131957_squad_Baltic_Main.jsonl,100,92,0.92
20251112_122655_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_122655_squad_Baltic_Main.jsonl,100,92,0.92
20251110_145253_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_145253_squad_Baltic_Main.jsonl,93,41,0.44086021505376344
20251109_084135_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_084135_squad_Tiger_Main.jsonl,99,44,0.4444444444444444
20251108_070832_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_070832_squad_Tiger_Main.jsonl,96,40,0.4166666666666667
20251113_162434_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251113_162434_squad_Baltic_Main.jsonl,100,92,0.92
20251107_103213_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_103213_squad_Baltic_Main.jsonl,100,92,0.92
20251111_141109_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_141109_squad_Tiger_Main.jsonl,100,93,0.93
20251108_020244_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_020244_squad_Baltic_Main.jsonl,100,92,0.92
20251112_221648_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_221648_squad_Baltic_Main.jsonl,99,92,0.9292929292929293
20251112_141748_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_141748_squad_Baltic_Main.jsonl,100,92,0.92
20251112_151557_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_151557_squad_Baltic_Main.jsonl,97,40,0.41237113402061853
20251109_123937_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251109_123937_squad_Baltic_Main.jsonl,99,42,0.42424242424242425
20251115_080058_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_080058_squad_Desert_Main.jsonl,98,84,0.8571428571428571
20251108_155400_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_155400_squad_Baltic_Main.jsonl,92,41,0.44565217391304346
20251114_123346_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_123346_squad_Baltic_Main.jsonl,100,92,0.92
20251112_103258_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_103258_squad_Baltic_Main.jsonl,100,92,0.92
20251114_095404_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_095404_squad_Baltic_Main.jsonl,100,92,0.92
