time_sec,team_id,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
1320,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.34,100.0,0,3,3,5,7,4,0,-1363.81,14960.47,-0.77,91.71,0,2,3,11,3,4,0,-1367.5,14534.44,-0.86,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,278.33
1320,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,8565.06,-17486.91,-0.35,100.0,0,2,2,1,0,0,0,16588.81,657.22,0.34,2,103.0
1320,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1321,1,100.0,0,2,3,5,1,0,0,12967.06,-1023.38,0.24,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,0.13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.19,-2099.22,0.27,3,300.0
1321,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.34,100.0,0,3,3,5,7,4,0,-1363.81,14960.47,-0.77,91.71,0,2,3,11,3,4,0,-1367.5,14534.44,-0.86,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,278.33
1321,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,8565.06,-17486.91,-0.35,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.35,2,103.0
1321,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1322,1,100.0,0,2,3,5,1,0,0,12967.06,-1023.38,0.24,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,0.13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.27,3,300.0
1322,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.34,100.0,0,3,3,5,7,4,0,-1363.81,14960.47,-0.77,91.71,0,2,3,11,4,4,0,-1367.5,14534.44,-0.86,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,278.33
1322,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,8565.06,-17486.91,-0.35,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.35,2,103.0
1322,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1323,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.23,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,0.13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.27,3,300.0
1323,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.34,100.0,0,3,3,5,7,4,0,-1363.81,14960.47,-0.77,91.71,0,2,3,11,4,4,0,-1367.5,14534.44,-0.86,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,278.33
1323,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,8565.06,-17486.91,-0.35,100.0,0,2,2,1,0,0,0,16559.0,683.62,0.35,2,103.0
1323,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1324,1,100.0,0,2,3,5,1,0,0,12710.25,-1340.03,0.13,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,0.02,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.88,-2103.44,0.17,3,300.0
1324,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.5,100.0,0,3,3,5,7,4,0,2483.25,13850.19,0.08,91.71,0,2,3,11,4,4,0,-1367.5,14534.44,-1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,278.33
