match_id,time_sec,team_id,is_winner,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
noai.jsonl,1349,22,0,100.0,0,2,2,1,1,1,0,14052.59,-2621.69,-1.05,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,100.0
noai.jsonl,1349,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,75.0,0,2,2,1,1,1,0,16915.34,-5808.31,-1.17,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,75.0
noai.jsonl,1359,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1359,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0,0,2,2,2,1,1,0,5385.5,15913.12,-0.82,81.0,0,2,1,1,1,0,0,-4244.53,-12711.75,0.71,85.0,0,2,2,2,2,1,0,6899.0,9605.81,-0.62,3,216.0
noai.jsonl,1359,15,0,85.0,0,2,1,2,3,4,0,-1081.31,5941.5,-0.56,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,85.0
noai.jsonl,1359,18,0,99.28,0,3,1,0,1,9,0,1055.03,-13503.31,0.99,100.0,0,2,1,0,0,3,0,965.16,-13545.44,0.97,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,199.28
noai.jsonl,1359,22,0,100.0,0,2,2,1,1,1,0,13579.88,-3246.0,-1.07,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,100.0
noai.jsonl,1359,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,10.65,0,2,2,1,1,1,0,17005.62,-5950.25,-1.22,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,10.65
noai.jsonl,1369,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1369,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,58.0,0,2,2,2,1,1,0,5825.28,14194.25,-1.29,85.0,0,2,1,1,1,0,0,-3486.88,-11435.12,0.31,91.0,0,2,2,2,2,1,0,7128.22,7780.5,-0.95,3,234.0
